bill_id,bill_type,bill_number,congress,title,status
hr2063-109,hr,2063,109,"To amend the Internal Revenue Code of 1986 to permit one-time, tax-free distributions from retirement plans to fund health savings accounts.",in_committee
hr758-109,hr,758,109,"To establish an interagency aerospace revitalization task force to develop a national strategy for aerospace workforce recruitment, training, and cultivation.",passed
hr1872-109,hr,1872,109,Health Coverage for the Uninsured Act of 2005,in_committee
hr2744-109,hr,2744,109,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2006",passed
hr3937-109,hr,3937,109,To include dehydroepiandrosterone as an anabolic steroid.,in_committee
hr4040-109,hr,4040,109,To amend the Internal Revenue Code of 1986 to provide that the deduction for certain attorney fees shall be fully allowable in computing both taxable income and alternative minimum taxable income.,in_committee
hr1696-109,hr,1696,109,Employee Free Choice Act,in_committee
s3508-109,s,3508,109,Moving to Work Charter Program Act of 2006,in_committee
s902-109,s,902,109,Recreational Marine Employment Act of 2005,in_committee
s3961-109,s,3961,109,"Pipeline Inspection, Protection, Enforcement, and Safety Act of 2006",in_committee
s842-109,s,842,109,Employee Free Choice Act,in_committee
s1427-109,s,1427,109,A bill for the relief of Marcela Silva do Nascimento.,in_committee
hres1488-110,hres,1488,110,"Providing for consideration of the Senate amendment to the bill (H.R. 2638) making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2008, and for other purposes.",passed
hres627-110,hres,627,110,Supporting the removal of Turkish occupation troops from the Republic of Cyprus.,in_committee
hres587-110,hres,587,110,Expressing the sense of the House of the Representatives that legislation to renew or grant fast track trade negotiating authority should not be considered by the House of Representatives in the 110th Congress.,in_committee
hres473-110,hres,473,110,"Providing for consideration of the bill (H.R. 2638) making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2008, and for other purposes.",passed
hres1507-110,hres,1507,110,"Providing for consideration of the bill (H.R. 7110) making supplemental appropriations for job creation and preservation, infrastructure investment, and economic and energy assistance for the fiscal year ending September 30, 2009, and for other purposes.",passed
hres1150-110,hres,1150,110,"Expressing the sense of the House of Representatives that the Transportation Security Administration should, in accordance with the congressional mandate provided for in the Implementing Recommendations of the 9/11 Commission Act of 2007, enhance security against terrorist attack and other security threats to our Nation's rail and mass transit lines.",passed
hres28-110,hres,28,110,To institute a reconciliation rule in the House of Representatives for the 110th Congress.,in_committee
sres35-110,sres,35,110,A resolution expressing support for prayer at school board meetings.,in_committee
sres729-110,sres,729,110,"A resolution expressing the opposition of the Senate to a proposed regulation by the Environmental Protection Agency, now under review in the Office of Management and Budget, that would undercut air quality protections established by Congress in the Clean Air Act Amendments of 1977 for national parks, national wilderness areas, national monuments, and national seashores.",in_committee
hconres12-110,hconres,12,110,Requiring the display of the Ten Commandments in the United States Capitol.,in_committee
hconres393-110,hconres,393,110,"Supporting the goals and ideals of ""National Sudden Cardiac Arrest Awareness Month"".",out_of_committee
hconres405-110,hconres,405,110,"Recognizing the first full week of April as ""National Workplace Wellness Week"".",out_of_committee
hconres104-110,hconres,104,110,Expressing the sense of Congress regarding the need for the United States to address global climate change through the negotiation of fair and effective international commitments.,in_committee
hconres99-110,hconres,99,110,"Revising the congressional budget for the United States Government for fiscal year 2007, establishing the congressional budget for the United States Government for fiscal year 2008, and setting forth appropriate budgetary levels for fiscal years 2009 through 2012.",out_of_committee
