committee_id,bill_id
HSWM,hr6530-110
HSRU,hr6530-110
HSHM,hr6530-110
HSFA,hr7081-110
HSRU,hr7081-110
HSIF,hr5580-110
HSIF,hr7302-110
HSPW,hr384-110
HSIF,hr7174-110
HSJU,hr7174-110
HSWM,hr7174-110
HSPW,hr2452-110
SSEV,hr2452-110
HSWM,hr1672-110
HSJU,hr1306-110
HSIF,hr7140-110
HSIF,hr3100-110
HSPW,hr3925-110
HSWM,hr3622-110
HSII,hr5293-110
HSBA,hr7205-110
HSFA,hr7205-110
HSIF,hr3533-110
HSED,hr2559-110
SSHR,hr2559-110
HSBA,hr1894-110
HSII,hr5608-110
HSWM,hr4989-110
HSSY,hr362-110
SSHR,hr362-110
HSWM,hr5270-110
HSPW,hr5270-110
HSWM,hr471-110
HSWM,hr6275-110
SSFI,hr6275-110
HSSM,hr1332-110
HSWM,hr1514-110
HSWM,hr4556-110
HSIF,hr4882-110
HSWM,hr4430-110
HSWM,hr5185-110
HSHM,hr3815-110
SSGA,hr3815-110
HSSY,hr2272-110
HSFA,hr624-110
HSWM,hr624-110
HSIF,hr624-110
HSJU,hr624-110
HSBA,hr624-110
HSGO,hr624-110
HSAG,hr624-110
HSGO,hr2324-110
HSGO,hr5656-110
HSWM,hr4420-110
HSII,hr6107-110
HSIF,hr6107-110
HSSY,hr6107-110
HSFA,hr6962-110
HSJU,hr2102-110
HSIF,hr2606-110
HSAG,hr1018-110
HSGO,hr75-110
HSJU,hr2898-110
HSIF,hr1249-110
HSJU,hr1249-110
HSWM,hr4822-110
HSPW,hr6434-110
HSJU,hr2989-110
HSBA,hr3644-110
HSPW,hr2095-110
SSCM,hr2095-110
HSWM,hr4042-110
HSIF,hr3334-110
HSBA,hr5818-110
SSBK,hr5818-110
HSED,hr3685-110
HSHA,hr3685-110
HSGO,hr3685-110
HSJU,hr3685-110
HSPW,hr5788-110
HSIF,hr4460-110
HSED,hr3289-110
HSIF,hr4206-110
HSWM,hr4206-110
HSIF,hr1198-110
SSHR,hr1198-110
HSJU,hr6841-110
HSIF,hr3285-110
HSED,hr3411-110
HSIF,hr3411-110
HSII,hr2933-110
HSED,hr531-110
HSIF,hr6636-110
HSAG,hr6636-110
HSIF,hr1533-110
HSJU,hr1724-110
HSIF,hr2464-110
SSHR,hr2464-110
HSHM,hr5982-110
SSCM,hr5982-110
HSWM,hr4797-110
HSWM,hr5724-110
HSIF,hr7157-110
HSJU,hr3652-110
HSWM,hr193-110
HSED,hr2289-110
HSBA,hr1508-110
HSHA,hr1523-110
HSED,hr3993-110
HSGO,hr3993-110
HSHA,hr3993-110
HSIF,hr3014-110
HSWM,hr3014-110
HSED,hr3014-110
HSII,hr3014-110
HSJU,hr3014-110
HSED,hr6654-110
HSII,hr6384-110
HSJU,hr6384-110
HSIF,hr6384-110
HSSY,hr6384-110
HSWM,hr6384-110
HSAG,hr6384-110
HSED,hr6384-110
HSAS,hr6384-110
HSPW,hr6384-110
HSGO,hr6384-110
HSWM,hr1977-110
HSWM,hr2776-110
HSJU,hr2597-110
HSED,hr576-110
HSWM,hr2138-110
HSIF,hr670-110
HSSY,hr670-110
HSWM,hr670-110
HSPW,hr670-110
HSGO,hr670-110
HSII,hr319-110
HSIF,hr6908-110
HSED,hr6908-110
HSWM,hr6908-110
HSJU,hr6454-110
HSED,hr6454-110
HSSY,hr6454-110
HSHM,hr6454-110
HSIF,hr1432-110
HSJU,hr1432-110
HSSY,hr1728-110
HSED,hr3185-110
HSAS,hr4986-110
HSPW,hr2125-110
HSED,hr7203-110
HSIF,hr958-110
HSWM,hr4793-110
HSBA,hr6066-110
HSJU,hr1930-110
HSIF,hr1788-110
HSAP,hr2642-110
HSGO,hr2200-110
HSJU,hr5642-110
HSIF,hr1956-110
HSWM,hr4318-110
HSWM,hr1385-110
HSFA,hr3175-110
HSIF,hr5613-110
HSAP,hr2764-110
SSAP,hr2764-110
HSBA,hr2040-110
SSBK,hr2040-110
HSWM,hr683-110
HSII,hr5541-110
HSAG,hr5541-110
HSBU,hr5541-110
SSEG,hr5541-110
HSWM,hr5078-110
HSWM,hr4443-110
HSWM,hr197-110
HSWM,hr7006-110
HLIG,hr6545-110
SLIN,hr6545-110
HSWM,hr2159-110
HSIF,hr2159-110
HSII,hr1662-110
SSEG,hr1662-110
HSWM,hr598-110
HSWM,hr3457-110
HSWM,hr4961-110
HSII,hr7150-110
HSIF,hr7231-110
HSJU,hr4175-110
HSII,hr2176-110
HSJU,hr2176-110
HSWM,hr2834-110
HSIF,hr1845-110
HSWM,hr1845-110
HSBA,hr7164-110
HSIF,hr1283-110
HSWM,hr5538-110
HSII,hr1337-110
HSWM,hr3684-110
HSSM,hr557-110
HSWM,hr5510-110
HSIF,hr4705-110
HSED,hr4705-110
HSWM,hr4705-110
HSGO,hr4705-110
HSIF,hr2552-110
HSBA,hr6663-110
HSJU,hr6663-110
HSII,hr496-110
HSAG,hr2841-110
HSED,hr1082-110
HSWM,hr4349-110
HSPW,hr6234-110
HSWM,hr3970-110
HSJU,hr2821-110
HSIF,hr2821-110
HSED,hr2792-110
HSHA,hr2792-110
HSGO,hr2792-110
HSAP,hr7324-110
HSWM,hr4346-110
HSAP,hr3093-110
HSJU,hr2291-110
HSWM,hr5145-110
HSED,hr3195-110
HSJU,hr3195-110
HSPW,hr3195-110
HSIF,hr3195-110
HSFA,hr848-110
HSIF,hr1038-110
HSJU,hr1038-110
HSPW,hr1782-110
HSWM,hr6374-110
HSII,hr815-110
SSEG,hr815-110
HSIF,hr104-110
HSIF,hr1424-110
HSED,hr1424-110
HSWM,hr1424-110
HSIF,hr1535-110
HSWM,hr5079-110
HSBA,hr1065-110
HSJU,hr1065-110
SSBK,hr1065-110
HSVR,hr2699-110
HSJU,hr2317-110
HSIF,hr426-110
HSIF,hr3914-110
HSIF,hr4911-110
HSJU,hr4911-110
HSWM,hr4962-110
HSWM,hr550-110
HSED,hr2087-110
HSWM,hr2470-110
HSED,hr2470-110
HSJU,hr4854-110
HSWM,hr3306-110
HSED,hr2769-110
HSWM,hr4319-110
HSWM,hr7279-110
HSED,hr2343-110
HSAS,hr2343-110
HSJU,hr5630-110
HSWM,hr891-110
HSIF,hr891-110
HSIF,hr6320-110
HSWM,hr5072-110
HSWM,hr3996-110
HSED,hr3585-110
HSSY,hr694-110
HSED,hr694-110
SSCM,hr694-110
HSIF,hr2053-110
HSWM,hr2053-110
HSJU,hr1593-110
SSJU,hr1593-110
HSIF,hr2802-110
HSPW,hr2830-110
HSHM,hr2830-110
HSIF,hr2830-110
HSJU,hr2830-110
HSFA,hr1469-110
SSFR,hr1469-110
HSWM,hr7303-110
HSBA,hr6078-110
HSBU,hr7110-110
